,date,accuracy,weighted_accuracy,accuracy_home,accuracy_draw,accuracy_away,macro_avg_precision,micro_avg_precision,weighted_precision,precision_home,precision_draw,precision_away,macro_avg_recall,micro_avg_recall,weighted_recall,recall_home,recall_draw,recall_away,macro_avg_f_mesure,micro_avg_f_mesure,weighted_f_mesure,f_mesure_home,f_mesure_draw,f_mesure_away,log_loss,loss_home,loss_draw,loss_away,mse_loss,ECE,ECE_home,ECE_draw,ECE_away,home_ECE_y,draw_ECE_y,away_ECE_y,home_ECE_p,draw_ECE_p,away_ECE_p,home_ECE_size,draw_ECE_size,away_ECE_size
0,2010-01-03,0.5714285714285714,0.6530612244897959,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.2222222222222222,0.5714285714285714,0.38095238095238093,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0,0.26666666666666666,0.8,0.45714285714285713,0.8,0.0,0.0,0.8279714983279118,0.16467142857142855,0.2438142857142857,0.08245714285714287,0.16364761904761904,0.25999999999999995,0.38999999999999996,0.1414285714285714,0.24857142857142855,"[0, 0.0, 0, 0.0, 0.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0.3333333333333333, 1.0, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0, 0.37, 0.48, 0.54, 0.64, 0, 0, 0]","[0, 0, 0.275, 0.36, 0, 0, 0, 0, 0, 0]","[0, 0.155, 0.21, 0.35, 0, 0.56, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 3, 1, 0, 0, 0]","[0, 0, 6, 1, 0, 0, 0, 0, 0, 0]","[0, 4, 1, 1, 0, 1, 0, 0, 0, 0]"
1,2010-01-04,0.5714285714285714,0.6530612244897959,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.2222222222222222,0.5714285714285714,0.38095238095238093,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0,0.26666666666666666,0.8,0.45714285714285713,0.8,0.0,0.0,0.8279714983279118,0.16467142857142855,0.2438142857142857,0.08245714285714287,0.16364761904761904,0.25999999999999995,0.38999999999999996,0.1414285714285714,0.24857142857142855,"[0, 0.0, 0, 0.0, 0.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0.3333333333333333, 1.0, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0, 0.37, 0.48, 0.54, 0.64, 0, 0, 0]","[0, 0, 0.275, 0.36, 0, 0, 0, 0, 0, 0]","[0, 0.155, 0.21, 0.35, 0, 0.56, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 3, 1, 0, 0, 0]","[0, 0, 6, 1, 0, 0, 0, 0, 0, 0]","[0, 4, 1, 1, 0, 1, 0, 0, 0, 0]"
2,2010-01-05,0.5714285714285714,0.6530612244897959,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.2222222222222222,0.5714285714285714,0.38095238095238093,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0,0.26666666666666666,0.8,0.45714285714285713,0.8,0.0,0.0,0.8279714983279118,0.16467142857142855,0.2438142857142857,0.08245714285714287,0.16364761904761904,0.25999999999999995,0.38999999999999996,0.1414285714285714,0.24857142857142855,"[0, 0.0, 0, 0.0, 0.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0.3333333333333333, 1.0, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.0, 0.0, 0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0, 0.37, 0.48, 0.54, 0.64, 0, 0, 0]","[0, 0, 0.275, 0.36, 0, 0, 0, 0, 0, 0]","[0, 0.155, 0.21, 0.35, 0, 0.56, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 3, 1, 0, 0, 0]","[0, 0, 6, 1, 0, 0, 0, 0, 0, 0]","[0, 4, 1, 1, 0, 1, 0, 0, 0, 0]"
3,2010-01-06,0.47058823529411764,0.6228373702422145,0.5294117647058824,0.7058823529411765,0.7058823529411765,0.27777777777777773,0.47058823529411764,0.3137254901960784,0.5,0.0,0.3333333333333333,0.375,0.47058823529411764,0.47058823529411764,0.875,0.0,0.25,0.30735930735930733,0.6153846153846154,0.3666921313980137,0.6363636363636364,0.0,0.28571428571428575,0.9194274289848829,0.19705294117647057,0.1972588235294117,0.15600588235294116,0.18343921568627444,0.1411764705882353,0.21705882352941175,0.06588235294117643,0.14058823529411768,"[0, 0.0, 0.0, 0.3333333333333333, 0.2, 0.8, 1.0, 0, 0, 0]","[0, 0.0, 0.3333333333333333, 0.3333333333333333, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.25, 0.4, 1.0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0.24, 0.3499999999999999, 0.446, 0.542, 0.63, 0, 0, 0]","[0, 0.18, 0.27083333333333337, 0.33666666666666667, 0, 0, 0, 0, 0, 0]","[0, 0.16833333333333333, 0.24, 0.356, 0.44, 0.56, 0, 0, 0, 0]","[0, 1, 1, 3, 5, 5, 2, 0, 0, 0]","[0, 2, 12, 3, 0, 0, 0, 0, 0, 0]","[0, 6, 4, 5, 1, 1, 0, 0, 0, 0]"
4,2010-01-07,0.47058823529411764,0.6228373702422145,0.5294117647058824,0.7058823529411765,0.7058823529411765,0.27777777777777773,0.47058823529411764,0.3137254901960784,0.5,0.0,0.3333333333333333,0.375,0.47058823529411764,0.47058823529411764,0.875,0.0,0.25,0.30735930735930733,0.6153846153846154,0.3666921313980137,0.6363636363636364,0.0,0.28571428571428575,0.9194274289848829,0.19705294117647057,0.1972588235294117,0.15600588235294116,0.18343921568627444,0.1411764705882353,0.21705882352941175,0.06588235294117643,0.14058823529411768,"[0, 0.0, 0.0, 0.3333333333333333, 0.2, 0.8, 1.0, 0, 0, 0]","[0, 0.0, 0.3333333333333333, 0.3333333333333333, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.25, 0.4, 1.0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0.24, 0.3499999999999999, 0.446, 0.542, 0.63, 0, 0, 0]","[0, 0.18, 0.27083333333333337, 0.33666666666666667, 0, 0, 0, 0, 0, 0]","[0, 0.16833333333333333, 0.24, 0.356, 0.44, 0.56, 0, 0, 0, 0]","[0, 1, 1, 3, 5, 5, 2, 0, 0, 0]","[0, 2, 12, 3, 0, 0, 0, 0, 0, 0]","[0, 6, 4, 5, 1, 1, 0, 0, 0, 0]"
5,2010-01-08,0.47058823529411764,0.6228373702422145,0.5294117647058824,0.7058823529411765,0.7058823529411765,0.27777777777777773,0.47058823529411764,0.3137254901960784,0.5,0.0,0.3333333333333333,0.375,0.47058823529411764,0.47058823529411764,0.875,0.0,0.25,0.30735930735930733,0.6153846153846154,0.3666921313980137,0.6363636363636364,0.0,0.28571428571428575,0.9194274289848829,0.19705294117647057,0.1972588235294117,0.15600588235294116,0.18343921568627444,0.1411764705882353,0.21705882352941175,0.06588235294117643,0.14058823529411768,"[0, 0.0, 0.0, 0.3333333333333333, 0.2, 0.8, 1.0, 0, 0, 0]","[0, 0.0, 0.3333333333333333, 0.3333333333333333, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.25, 0.4, 1.0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0.24, 0.3499999999999999, 0.446, 0.542, 0.63, 0, 0, 0]","[0, 0.18, 0.27083333333333337, 0.33666666666666667, 0, 0, 0, 0, 0, 0]","[0, 0.16833333333333333, 0.24, 0.356, 0.44, 0.56, 0, 0, 0, 0]","[0, 1, 1, 3, 5, 5, 2, 0, 0, 0]","[0, 2, 12, 3, 0, 0, 0, 0, 0, 0]","[0, 6, 4, 5, 1, 1, 0, 0, 0, 0]"
6,2010-01-09,0.47058823529411764,0.6228373702422145,0.5294117647058824,0.7058823529411765,0.7058823529411765,0.27777777777777773,0.47058823529411764,0.3137254901960784,0.5,0.0,0.3333333333333333,0.375,0.47058823529411764,0.47058823529411764,0.875,0.0,0.25,0.30735930735930733,0.6153846153846154,0.3666921313980137,0.6363636363636364,0.0,0.28571428571428575,0.9194274289848829,0.19705294117647057,0.1972588235294117,0.15600588235294116,0.18343921568627444,0.1411764705882353,0.21705882352941175,0.06588235294117643,0.14058823529411768,"[0, 0.0, 0.0, 0.3333333333333333, 0.2, 0.8, 1.0, 0, 0, 0]","[0, 0.0, 0.3333333333333333, 0.3333333333333333, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.25, 0.4, 1.0, 0.0, 0, 0, 0, 0]","[0, 0.14, 0.24, 0.3499999999999999, 0.446, 0.542, 0.63, 0, 0, 0]","[0, 0.18, 0.27083333333333337, 0.33666666666666667, 0, 0, 0, 0, 0, 0]","[0, 0.16833333333333333, 0.24, 0.356, 0.44, 0.56, 0, 0, 0, 0]","[0, 1, 1, 3, 5, 5, 2, 0, 0, 0]","[0, 2, 12, 3, 0, 0, 0, 0, 0, 0]","[0, 6, 4, 5, 1, 1, 0, 0, 0, 0]"
7,2010-01-10,0.59375,0.70703125,0.65625,0.78125,0.75,0.3717948717948718,0.59375,0.4519230769230769,0.6153846153846154,0.0,0.5,0.4387254901960784,0.59375,0.59375,0.9411764705882353,0.0,0.375,0.3909191583610188,0.8444444444444444,0.5024916943521595,0.744186046511628,0.0,0.42857142857142855,0.8481646177345427,0.19102812500000002,0.156434375,0.14767499999999997,0.16504583333333334,0.11250000000000003,0.18468750000000006,0.044062500000000025,0.10874999999999997,"[0, 0.0, 0.0, 0.4, 0.3333333333333333, 0.8, 1.0, 1.0, 0, 0]","[0, 0.0, 0.2631578947368421, 0.2857142857142857, 0, 0, 0, 0, 0, 0]","[0, 0.0, 0.2727272727272727, 0.2857142857142857, 1.0, 0.5, 1.0, 0, 0, 0]","[0, 0.1466666666666667, 0.24, 0.348, 0.45222222222222225, 0.5479999999999999, 0.6366666666666667, 0.71, 0, 0]","[0, 0.17500000000000002, 0.2626315789473684, 0.33571428571428574, 0, 0, 0, 0, 0, 0]","[0, 0.168, 0.2445454545454546, 0.3514285714285714, 0.44, 0.555, 0.64, 0, 0, 0]","[0, 3, 1, 5, 9, 10, 3, 1, 0, 0]","[0, 6, 19, 7, 0, 0, 0, 0, 0, 0]","[0, 10, 11, 7, 1, 2, 1, 0, 0, 0]"
8,2010-01-11,0.6060606060606061,0.714416896235078,0.6666666666666666,0.7878787878787878,0.7575757575757576,0.37654320987654327,0.6060606060606061,0.46464646464646464,0.6296296296296297,0.0,0.5,0.4398148148148148,0.6060606060606061,0.6060606060606061,0.9444444444444444,0.0,0.375,0.39470899470899473,0.8695652173913043,0.516017316017316,0.7555555555555556,0.0,0.42857142857142855,0.8299917917213292,0.18670606060606063,0.1522060606060606,0.14344545454545451,0.1607858585858586,0.11353535353535354,0.1857575757575758,0.046666666666666703,0.10818181818181817,"[0, 0.0, 0.0, 0.4, 0.3333333333333333, 0.8, 1.0, 1.0, 0, 0]","[0, 0.0, 0.2631578947368421, 0.2857142857142857, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.2727272727272727, 0.2857142857142857, 1.0, 0.5, 1.0, 0, 0, 0]","[0, 0.1466666666666667, 0.24, 0.348, 0.45222222222222225, 0.5479999999999999, 0.6366666666666667, 0.745, 0, 0]","[0, 0.1685714285714286, 0.2626315789473684, 0.33571428571428574, 0, 0, 0, 0, 0, 0]","[0.09, 0.168, 0.2445454545454546, 0.3514285714285714, 0.44, 0.555, 0.64, 0, 0, 0]","[0, 3, 1, 5, 9, 10, 3, 2, 0, 0]","[0, 7, 19, 7, 0, 0, 0, 0, 0, 0]","[1, 10, 11, 7, 1, 2, 1, 0, 0, 0]"
9,2010-01-12,0.6060606060606061,0.714416896235078,0.6666666666666666,0.7878787878787878,0.7575757575757576,0.37654320987654327,0.6060606060606061,0.46464646464646464,0.6296296296296297,0.0,0.5,0.4398148148148148,0.6060606060606061,0.6060606060606061,0.9444444444444444,0.0,0.375,0.39470899470899473,0.8695652173913043,0.516017316017316,0.7555555555555556,0.0,0.42857142857142855,0.8299917917213292,0.18670606060606063,0.1522060606060606,0.14344545454545451,0.1607858585858586,0.11353535353535354,0.1857575757575758,0.046666666666666703,0.10818181818181817,"[0, 0.0, 0.0, 0.4, 0.3333333333333333, 0.8, 1.0, 1.0, 0, 0]","[0, 0.0, 0.2631578947368421, 0.2857142857142857, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.2727272727272727, 0.2857142857142857, 1.0, 0.5, 1.0, 0, 0, 0]","[0, 0.1466666666666667, 0.24, 0.348, 0.45222222222222225, 0.5479999999999999, 0.6366666666666667, 0.745, 0, 0]","[0, 0.1685714285714286, 0.2626315789473684, 0.33571428571428574, 0, 0, 0, 0, 0, 0]","[0.09, 0.168, 0.2445454545454546, 0.3514285714285714, 0.44, 0.555, 0.64, 0, 0, 0]","[0, 3, 1, 5, 9, 10, 3, 2, 0, 0]","[0, 7, 19, 7, 0, 0, 0, 0, 0, 0]","[1, 10, 11, 7, 1, 2, 1, 0, 0, 0]"
