Selected_Features,accuracy,weighted_accuracy,accuracy_home,accuracy_draw,accuracy_away,macro_avg_recall,micro_avg_recall,weighted_recall,recall_home,recall_draw,recall_away,macro_avg_precision,micro_avg_precision,weighted_precision,precision_home,precision_draw,precision_away,macro_avg_f_mesure,micro_avg_f_mesure,weighted_f_mesure,f_mesure_home,f_mesure_draw,f_mesure_away,log_loss,loss_home,loss_draw,loss_away,mse,mse_home,mse_draw,mse_away,classwise_ECE,ECE_home,ECE_draw,ECE_away
elo_away_before,0.436429215509468,0.5941856163319865,0.436429215509468,0.7359783588818756,0.7004508566275925,0.3333333333333333,0.436429215509468,0.436429215509468,1.0,0.0,0.0,0.14547640516982266,0.436429215509468,0.19096319074772278,0.436429215509468,0.0,0.0,0.20244127824880992,0.5587596217226212,0.26553459627250614,0.6073238347464298,0.0,0.0,1.0748183559742266,0.3399331245788818,0.3586585907800953,0.37622664061524935,0.2167799090656754,0.24624178094063956,0.1943406265987504,0.20975731965763625,0.017353632693604,0.022239645636338134,0.01149402280460286,0.01832722963987101
elo_home_before,0.4952209197475203,0.646793795497288,0.56429215509468,0.7359783588818756,0.6901713255184851,0.42336340135864636,0.4952209197475203,0.49522091974752025,0.8249082950528427,0.0,0.4451819090230965,0.3263114812620014,0.4952209197475203,0.3627719540786981,0.49965695464479987,0.0,0.47927748914120416,0.36081039377724206,0.6582819427229609,0.41085368282318846,0.6221983208994817,0.0,0.46023286043224443,1.029611320663376,0.3471124121230112,0.35964664187293893,0.32285226666742584,0.2060923090610045,0.23159910189614896,0.19411956454567408,0.19255826074119053,0.023569264573350634,0.025897825977710898,0.012917463698311833,0.03189250404402917
glicko2_vol_away_before,0.5150586113615869,0.6619710362222035,0.5868349864743012,0.7359783588818756,0.7073038773669973,0.4442334899707589,0.5150586113615869,0.5150586113615869,0.8383981379817407,0.0,0.4943023319305361,0.3412026544124577,0.5150586113615869,0.3786637343134997,0.5161707493554808,0.0,0.5074372138818922,0.3796323634751864,0.6938230680379169,0.42987729450406376,0.6387804088575093,0.0,0.50011668156805,0.9878430367932445,0.30039388544970935,0.36315868203483187,0.3242904693087033,0.19652699330978027,0.2151041006724185,0.19230262070561846,0.1821742585513039,0.02786144340911114,0.03430770818290006,0.019041701861238082,0.03023492018319528
away_overall,0.5146979260595131,0.6628999065763272,0.5956717763751127,0.7357980162308386,0.697926059513075,0.44685261503868867,0.5146979260595131,0.5146979260595131,0.8167504684141289,0.0006578947368421052,0.5231494819650949,0.3603734712409782,0.5146979260595131,0.39509548773512315,0.5234243429921788,0.06666666666666667,0.4910294040640891,0.3814707802761169,0.6931747760001798,0.4314163028490741,0.6376896125834071,0.0013029315960912053,0.5054197966488523,0.9862247756311404,0.31471048073336194,0.3552457081118633,0.3162685867859153,0.1961408421370494,0.21439882389100676,0.19220134299290775,0.18182235952723372,0.024428418230951005,0.025859066071135278,0.019160468162056635,0.028265720459661102
home_overall,0.5201082055906221,0.6666436834132733,0.599639314697926,0.7361587015329125,0.7044183949504058,0.4518552230024981,0.5201082055906221,0.5201082055906221,0.8240743805118154,0.0006578947368421052,0.5308333937588371,0.40960469904382535,0.5201082055906221,0.4361859341812392,0.5260899939364478,0.2,0.5027241031950281,0.3862464399382701,0.7029644255782488,0.4361808584711569,0.6419901373878221,0.0013114754098360654,0.5154377070171521,0.9849313515778,0.3119897992551866,0.3552243858350627,0.3177171664875507,0.19589701700573633,0.21417300757012114,0.19220773040873812,0.1813103130383497,0.028564976403038615,0.03283495996235522,0.023315799906654177,0.029544169340106452
away_build_up_speed_Slow,0.5226330027051398,0.6677672067460185,0.5965734896302975,0.7357980162308386,0.7128944995491434,0.45234163090952373,0.5226330027051398,0.5226330027051398,0.8386541400270303,0.0,0.5183707527015409,0.3466287672874364,0.5226330027051398,0.384368547090979,0.5234302053186763,0.0,0.5164560965436329,0.3870262272467061,0.7076561514664905,0.4373174944598017,0.6443882686148543,0.0,0.5166904131252639,0.9826462201006807,0.3038734441319651,0.35672676686160226,0.32204600910711345,0.19532572672812576,0.2132306371208376,0.19205296829022755,0.18069357477331216,0.026003221317308124,0.028270247939031202,0.02135974266692737,0.028379673345965795
away_starting_xi_average_age,0.5231740306582507,0.6686193217067343,0.6021641118124437,0.7356176735798016,0.7085662759242561,0.45356248155640844,0.5231740306582507,0.5231740306582507,0.8299858369173846,0.0006578947368421052,0.5300437130149989,0.362079655652766,0.5231740306582507,0.39731335699539494,0.528019890341251,0.05,0.5082190766170471,0.3881616890684786,0.7086715797751675,0.43852224455694067,0.6452374438820627,0.0012987012987012987,0.5179489220246717,0.9816951475360811,0.31023279895926237,0.3555995683787706,0.31586278019804825,0.19511169392584973,0.2128531148486827,0.1920179731759935,0.180463993752873,0.02499904712700863,0.025523232792278867,0.020897868768950705,0.02857603981979632
home_league_INT,0.5233543733092876,0.6689848855295756,0.6045085662759242,0.7357980162308386,0.7064021641118124,0.4542274588682436,0.5233543733092876,0.5233543733092876,0.8279190543460906,0.0006578947368421052,0.5341054275217981,0.3672562069976759,0.5233543733092876,0.40171194936101673,0.529937210700874,0.06666666666666667,0.5051647436254871,0.3885366972289367,0.7090354942713339,0.43885062363848704,0.6460086046757411,0.0013029315960912053,0.5182985554149777,0.9808832877833906,0.31041839254383213,0.35552179909596626,0.31494309614359217,0.19495222104813262,0.2128474098321599,0.19190625627074148,0.18010299704149652,0.025349928823694662,0.027782168420625565,0.023165266515320693,0.025102351535137728
avg_home_team_goals_season_to_date_before_match,0.5240757439134355,0.6697439833609918,0.6075743913435527,0.7356176735798016,0.7049594229035168,0.4556478995531384,0.5240757439134355,0.5240757439134355,0.8211890662593196,0.0006578947368421052,0.5450967376632535,0.3616902878537859,0.5240757439134355,0.39744650264317016,0.5328087474043494,0.05,0.5022621161570084,0.3896399362773321,0.710347086821095,0.4399310424051036,0.6459986983507731,0.0012987012987012987,0.5216224091825221,0.9803191154640638,0.31323393885152406,0.3559896727370367,0.31109550387550305,0.1948119370379761,0.21258094617706771,0.19189805943418098,0.17995680550267962,0.024879257902341266,0.024794970219573765,0.02365175909257679,0.026191044394873242
home_build_up_positioning_Organised,0.5237150586113616,0.6696373063735435,0.6084761045987375,0.7354373309287647,0.703516681695221,0.4554848237580103,0.5237150586113616,0.5237150586113616,0.8195170231108488,0.0,0.5469374481631819,0.34456825926000956,0.5237150586113616,0.3834274777442291,0.5336522762403446,0.0,0.500052501539684,0.38910527728592853,0.7096820434646678,0.43947964751464685,0.6460903184746222,0.0,0.5212255133831635,0.979807498160894,0.3134606232760623,0.35554253152059656,0.310804343364235,0.19469823127397282,0.21234694877559904,0.19172908262588456,0.18001866242043485,0.02414236319697156,0.023524386236616682,0.0227831738245224,0.026119529529775608
home_build_up_speed_Fast,0.5224526600541027,0.6687921839592611,0.6072137060414788,0.7350766456266907,0.702614968440036,0.4542338752167218,0.5224526600541027,0.5224526600541028,0.8187869564874163,0.0,0.5439146691627492,0.34363014368404915,0.5224526600541027,0.3825579462502158,0.5326194560602001,0.0,0.4982709749919472,0.3880350459109921,0.7073830249294848,0.43844224784675817,0.6451289892886208,0.0,0.5189761484443552,0.9795533242641618,0.31489387964811855,0.35419449856537844,0.31046494605066477,0.19463586952857298,0.21224318590512298,0.19161936171250424,0.1800450609680917,0.024300695537631995,0.024009883043538384,0.021858458786335667,0.027033744783021934
away_defence_pressure_High,0.5229936880072137,0.6692494639725306,0.6081154192966636,0.7348963029756538,0.7029756537421099,0.4548199899089817,0.5229936880072137,0.5229936880072137,0.8187869564874163,0.0,0.5456730132395291,0.3440092244802366,0.5229936880072137,0.3830011438771705,0.533323780029604,0.0,0.4987038934111057,0.38855211861832173,0.7083842254814632,0.43898727424559303,0.6456531632747298,0.0,0.5200031925802355,0.979236134125018,0.3151641186208973,0.3536154282354252,0.31045658726869557,0.1945750869768467,0.2121455733143267,0.19151766579816334,0.18006202181805,0.024100529784043034,0.02311790678328058,0.02181571060433054,0.027367971964517977
away_defence_defender_line_Offside trap,0.5229936880072137,0.6693249184270673,0.6088367899008116,0.7348963029756538,0.7022542831379621,0.4547267566136487,0.5229936880072137,0.5229936880072137,0.8191806572748177,0.0,0.5449996125661284,0.3438189255897178,0.5229936880072137,0.382887583026828,0.5339048682503135,0.0,0.4975519085188399,0.38840321332613525,0.7083842254814632,0.43892557225176565,0.6461885408103081,0.0,0.5190210991680976,0.9790431174092357,0.31525658779651333,0.35336697210432444,0.31041955750839795,0.19453312004413628,0.2121261546448113,0.1914484976990486,0.180024707788549,0.02334774802107068,0.022574780479436417,0.019685902425558517,0.027782561158217117
home_league_ITA-Serie A,0.5226330027051397,0.6690770895720806,0.6086564472497746,0.7345356176735798,0.7020739404869252,0.4543710561267146,0.5226330027051397,0.5226330027051397,0.8187869564874163,0.0,0.5443262118927277,0.3436731963179829,0.5226330027051397,0.3827345779812371,0.5338225215668031,0.0,0.4971970673871454,0.38816197594407686,0.7077441617636684,0.4386836566121812,0.6460020989400894,0.0,0.5184838288921411,0.9790106300053244,0.31547215058604416,0.3532383772218449,0.3103001021974355,0.19452541569441362,0.21213538939150936,0.19144587442610467,0.17999498326562677,0.023333555013724753,0.0221465720157097,0.020378296592092983,0.027475796433371575
glicko2_rd_home_before,0.5231740306582506,0.6694288309194141,0.6086564472497746,0.7347159603246167,0.70297565374211,0.45493384941069187,0.5231740306582506,0.5231740306582506,0.8191609100249216,0.0,0.545640638207154,0.34409981480490964,0.5231740306582506,0.3831342127613345,0.5337385618602628,0.0,0.498560882554466,0.38866066371218116,0.7087224772799017,0.43914886226630906,0.6460859073426606,0.0,0.5198960837938829,0.9789015636961311,0.3151537567387125,0.3531512394925362,0.3105965674648825,0.19449001408901698,0.21205056736374056,0.19139788883725273,0.1800215860660578,0.023582318417399915,0.023353063236584856,0.020824604165909973,0.026569287849704915
home_chance_creation_shooting_Normal,0.5233543733092876,0.6695451023310385,0.6088367899008116,0.7347159603246167,0.7031559963931471,0.455099572013852,0.5233543733092876,0.5233543733092876,0.8196580778344019,0.0,0.545640638207154,0.3442366716790082,0.5233543733092876,0.3832748873223619,0.5339186501667337,0.0,0.49879136487029063,0.3888122004424951,0.7090737737488266,0.439305858334395,0.6463773313983167,0.0,0.5200592699291687,0.978779085688922,0.3150841208545995,0.3529141254386585,0.3107808393956641,0.19446567892045158,0.21204307351052903,0.1913513068568887,0.18000265639393692,0.023673094600899138,0.02231397465094241,0.021436976829860774,0.027268332321894233
away_build_up_passing_Mixed,0.5233543733092876,0.6695112779203842,0.6086564472497745,0.7348963029756538,0.7031559963931471,0.4551429366856029,0.5233543733092876,0.5233543733092876,0.819212643535961,0.0006578947368421052,0.5455582717840055,0.35371503557798967,0.5233543733092876,0.3910417954382338,0.5337993019366367,0.02857142857142857,0.49877437622590365,0.389128030516935,0.709063145951836,0.43953694435475654,0.6461473337598672,0.0012861736334405145,0.5199505841574972,0.97861958645219,0.3152778425451577,0.35249969831952244,0.31084204558750994,0.19444234602952282,0.21206052167973882,0.19131576701878578,0.1799507493900438,0.02284277197987441,0.021309266771393904,0.020271584535118396,0.02694746463311092
away_team_goals_season_to_date_before_match,0.5237150586113616,0.6699706719593197,0.6100991884580702,0.7347159603246167,0.702614968440036,0.4554745894731562,0.5237150586113616,0.5237150586113616,0.8200928604430977,0.0006578947368421052,0.5456730132395291,0.3525822762169347,0.5237150586113616,0.3903045039487337,0.5348322764578304,0.025,0.49791455219297376,0.3893846056344388,0.7097154569066493,0.43991678793884204,0.6472077280152118,0.0012820512820512818,0.5196640376060533,0.9785243770226927,0.31508724216263706,0.3527103456625298,0.31072678919752594,0.19442155901891398,0.21203048897415977,0.19127856722158484,0.1799556208609973,0.023132391660090228,0.021318735786616926,0.02015210195393969,0.02792633723971406
home_chance_creation_passing_Risky,0.5247971145175834,0.6707608297062887,0.611361587015329,0.7347159603246167,0.703516681695221,0.45692561605820015,0.5247971145175834,0.5247971145175834,0.819221357235481,0.0013157894736842105,0.5502397014654352,0.35861135691423074,0.5247971145175834,0.3953841871654168,0.5357818017265676,0.04,0.5000522690161244,0.39105733191932895,0.7116516196802923,0.44135896588312623,0.6476518897679057,0.0025477707006369425,0.5229723352894441,0.9784089501536393,0.3148194647340904,0.35437333494452705,0.3092161504750218,0.19440216776974667,0.2120715379390604,0.19124372982856272,0.17989123554161696,0.02288533881640946,0.022555896220862882,0.020437719071751695,0.0256624011566138
away_chance_creation_positioning_Organised,0.5253381424706942,0.6710150006382731,0.6110009017132552,0.7348963029756538,0.7047790802524798,0.45744249634076456,0.5253381424706942,0.5253381424706942,0.8200277423389185,0.0013157894736842105,0.5509839572096908,0.3607309020296356,0.5253381424706942,0.3970858231082037,0.5354130581054573,0.04444444444444444,0.5023352035390051,0.39161997449738134,0.7126283751286941,0.44182377952128826,0.6476476641195859,0.0025559105431309905,0.5246563488294271,0.9782883806056958,0.3149472956541782,0.3541987811940918,0.30914230375742574,0.19438365782786785,0.21205190300257853,0.19123289799655355,0.17986617248447148,0.023025777512956775,0.022552371932160566,0.020054046979690283,0.026470913627019477
away_defence_pressure_Medium,0.5249774571686203,0.6706061805979603,0.6097385031559963,0.7352569882777278,0.7049594229035167,0.4571534306911532,0.5249774571686203,0.5249774571686203,0.8191659602743359,0.001973684210526316,0.5503206475885977,0.3705788262931492,0.5249774571686203,0.40503069829349714,0.5344658483036892,0.075,0.5022706305757584,0.3915721926112604,0.7119848278228311,0.44163243556038845,0.6466801096491727,0.0038461538461538455,0.5241903143384546,0.9781052782309969,0.31473059152621075,0.35413207694147436,0.30924260976331164,0.19436609532308463,0.21202481485941588,0.19126220854813747,0.17981126256170057,0.023198473704366278,0.022372305438905327,0.019911292405094906,0.02731182326909859
away_defence_domestic_prestige,0.5246167718665464,0.6704251874774876,0.6108205590622182,0.7350766456266907,0.7033363390441838,0.45700713305660956,0.5246167718665464,0.5246167718665464,0.8170137636628866,0.002631578947368421,0.5513760565595739,0.36950933069713077,0.5246167718665464,0.40411714464190646,0.5355038297000864,0.07272727272727272,0.5002968896640331,0.3917480731966929,0.7113102455439948,0.44170862916748,0.646719799718796,0.005079365079365079,0.5234450547919176,0.9780780209922826,0.3152493536669511,0.3539621763174625,0.3088664910078689,0.19435579126064598,0.21202413049237281,0.19125225615795044,0.1797909871316147,0.023465664674357976,0.021525152330373505,0.022639610660689168,0.02623223103201126
away_chance_creation_shooting_Lots,0.5251577998196574,0.6707024500744381,0.6106402164111813,0.7354373309287647,0.7042380522993689,0.4570155760981301,0.5251577998196574,0.5251577998196574,0.8203028660512212,0.002631578947368421,0.5481122832958006,0.3698317913827557,0.5251577998196574,0.40437842089207654,0.53529546642304,0.07272727272727272,0.5014726349979541,0.39172856687234786,0.7123405156558404,0.4418448540007742,0.647579925283351,0.005079365079365079,0.5225264102543274,0.9780138865411947,0.312384689569136,0.3567961898479714,0.3088330071240873,0.19434026140348434,0.2119345595448257,0.1912841136406081,0.17980211102501928,0.024830143841180593,0.024293436712714542,0.02355219772252278,0.026644797088304455
home_defence_defender_line_Offside trap,0.5251577998196574,0.6707531866904196,0.6108205590622182,0.7357980162308385,0.7036970243462579,0.45719536629484486,0.5251577998196574,0.5251577998196574,0.8194569552560841,0.002631578947368421,0.549497564681082,0.37872862813249986,0.5251577998196574,0.41171875668589164,0.5353722440505911,0.1,0.5008136403469085,0.3918379491549777,0.7123002157286626,0.441907174466031,0.6473893553453449,0.005128205128205127,0.5229962869913831,0.9778878171287044,0.3124374570700233,0.35691313827299587,0.3085372217856852,0.19431904328146093,0.21192675882685702,0.19127098631366418,0.17975938470386166,0.024864737224665652,0.024675409664471425,0.024106494750820905,0.02581230725870463
